s,CH1[V]
-5.996E-01,-2.31E-02
-5.996E-01,2.01E-02
-5.992E-01,-1.75E-02
-5.992E-01,1.41E-02
-5.988E-01,-2.03E-02
-5.988E-01,2.17E-02
-5.984E-01,-2.15E-02
-5.984E-01,1.33E-02
-5.980E-01,-2.03E-02
-5.980E-01,1.69E-02
-5.976E-01,-1.19E-02
-5.976E-01,2.29E-02
-5.972E-01,-2.51E-02
-5.972E-01,1.73E-02
-5.968E-01,-2.15E-02
-5.968E-01,1.85E-02
-5.964E-01,-2.27E-02
-5.964E-01,1.21E-02
-5.960E-01,-1.47E-02
-5.960E-01,2.29E-02
-5.956E-01,-1.55E-02
-5.956E-01,1.53E-02
-5.952E-01,-2.75E-02
-5.952E-01,1.45E-02
-5.948E-01,-1.83E-02
-5.948E-01,1.29E-02
-5.944E-01,-1.79E-02
-5.944E-01,1.09E-02
-5.940E-01,-1.27E-02
-5.940E-01,2.37E-02
-5.936E-01,-1.11E-02
-5.936E-01,1.93E-02
-5.932E-01,-1.71E-02
-5.932E-01,1.41E-02
-5.928E-01,-7.10E-03
-5.928E-01,8.10E-03
-5.924E-01,-1.87E-02
-5.924E-01,9.30E-03
-5.920E-01,-2.15E-02
-5.920E-01,1.65E-02
-5.916E-01,-1.83E-02
-5.916E-01,1.61E-02
-5.912E-01,-2.39E-02
-5.912E-01,1.29E-02
-5.908E-01,-1.75E-02
-5.908E-01,1.73E-02
-5.904E-01,-1.39E-02
-5.904E-01,8.10E-03
-5.900E-01,-1.91E-02
-5.900E-01,1.53E-02
-5.896E-01,-1.79E-02
-5.896E-01,1.69E-02
-5.892E-01,-2.35E-02
-5.892E-01,8.50E-03
-5.888E-01,-1.23E-02
-5.888E-01,8.50E-03
-5.884E-01,-2.07E-02
-5.884E-01,8.90E-03
-5.880E-01,-1.71E-02
-5.880E-01,1.49E-02
-5.876E-01,-2.23E-02
-5.876E-01,2.25E-02
-5.872E-01,-1.43E-02
-5.872E-01,1.57E-02
-5.868E-01,-1.71E-02
-5.868E-01,1.53E-02
-5.864E-01,-2.03E-02
-5.864E-01,1.73E-02
-5.860E-01,-1.63E-02
-5.860E-01,7.30E-03
-5.856E-01,-1.03E-02
-5.856E-01,1.65E-02
-5.852E-01,-1.43E-02
-5.852E-01,1.25E-02
-5.848E-01,-9.10E-03
-5.848E-01,1.17E-02
-5.844E-01,-7.10E-03
-5.844E-01,1.37E-02
-5.840E-01,-1.55E-02
-5.840E-01,1.53E-02
-5.836E-01,-1.67E-02
-5.836E-01,1.69E-02
-5.832E-01,-1.19E-02
-5.832E-01,9.70E-03
-5.828E-01,-2.07E-02
-5.828E-01,1.17E-02
-5.824E-01,-9.90E-03
-5.824E-01,1.73E-02
-5.820E-01,-1.99E-02
-5.820E-01,1.85E-02
-5.816E-01,-1.99E-02
-5.816E-01,1.13E-02
-5.812E-01,-1.23E-02
-5.812E-01,1.61E-02
-5.808E-01,-1.31E-02
-5.808E-01,1.57E-02
-5.804E-01,-1.83E-02
-5.804E-01,9.70E-03
-5.800E-01,-1.43E-02
-5.800E-01,1.73E-02
-5.796E-01,-2.31E-02
-5.796E-01,1.13E-02
-5.792E-01,-2.43E-02
-5.792E-01,1.69E-02
-5.788E-01,-2.27E-02
-5.788E-01,1.57E-02
-5.784E-01,-2.31E-02
-5.784E-01,1.09E-02
-5.780E-01,-1.27E-02
-5.780E-01,1.09E-02
-5.776E-01,-1.99E-02
-5.776E-01,1.25E-02
-5.772E-01,-1.75E-02
-5.772E-01,1.13E-02
-5.768E-01,-1.99E-02
-5.768E-01,1.73E-02
-5.764E-01,-1.67E-02
-5.764E-01,1.41E-02
-5.760E-01,-1.19E-02
-5.760E-01,8.50E-03
-5.756E-01,-2.31E-02
-5.756E-01,1.49E-02
-5.752E-01,-2.19E-02
-5.752E-01,1.45E-02
-5.748E-01,-1.95E-02
-5.748E-01,8.50E-03
-5.744E-01,-7.50E-03
-5.744E-01,1.85E-02
-5.740E-01,-1.95E-02
-5.740E-01,1.29E-02
-5.736E-01,-2.03E-02
-5.736E-01,1.01E-02
-5.732E-01,-1.15E-02
-5.732E-01,1.45E-02
-5.728E-01,-1.95E-02
-5.728E-01,1.93E-02
-5.724E-01,-8.70E-03
-5.724E-01,9.70E-03
-5.720E-01,-1.67E-02
-5.720E-01,1.45E-02
-5.716E-01,-1.31E-02
-5.716E-01,8.50E-03
-5.712E-01,-1.79E-02
-5.712E-01,8.50E-03
-5.708E-01,-1.63E-02
-5.708E-01,2.21E-02
-5.704E-01,-1.99E-02
-5.704E-01,1.65E-02
-5.700E-01,-1.83E-02
-5.700E-01,8.50E-03
-5.696E-01,-2.07E-02
-5.696E-01,1.89E-02
-5.692E-01,-1.15E-02
-5.692E-01,1.01E-02
-5.688E-01,-2.23E-02
-5.688E-01,1.01E-02
-5.684E-01,-1.95E-02
-5.684E-01,1.05E-02
-5.680E-01,-9.90E-03
-5.680E-01,1.21E-02
-5.676E-01,-1.11E-02
-5.676E-01,1.09E-02
-5.672E-01,-2.87E-02
-5.672E-01,1.93E-02
-5.668E-01,-1.55E-02
-5.668E-01,2.01E-02
-5.664E-01,-1.91E-02
-5.664E-01,1.17E-02
-5.660E-01,-2.51E-02
-5.660E-01,1.65E-02
-5.656E-01,-1.47E-02
-5.656E-01,2.69E-02
-5.652E-01,-2.15E-02
-5.652E-01,1.85E-02
-5.648E-01,-1.75E-02
-5.648E-01,1.57E-02
-5.644E-01,-1.35E-02
-5.644E-01,1.77E-02
-5.640E-01,-1.83E-02
-5.640E-01,1.01E-02
-5.636E-01,-2.03E-02
-5.636E-01,1.73E-02
-5.632E-01,-1.15E-02
-5.632E-01,1.13E-02
-5.628E-01,-1.31E-02
-5.628E-01,8.90E-03
-5.624E-01,-1.31E-02
-5.624E-01,9.70E-03
-5.620E-01,-2.03E-02
-5.620E-01,1.37E-02
-5.616E-01,-2.15E-02
-5.616E-01,1.65E-02
-5.612E-01,-2.07E-02
-5.612E-01,2.29E-02
-5.608E-01,-9.90E-03
-5.608E-01,1.77E-02
-5.604E-01,-1.39E-02
-5.604E-01,1.77E-02
-5.600E-01,-1.87E-02
-5.600E-01,1.57E-02
-5.596E-01,-8.70E-03
-5.596E-01,1.41E-02
-5.592E-01,-1.03E-02
-5.592E-01,1.41E-02
-5.588E-01,-1.23E-02
-5.588E-01,1.81E-02
-5.584E-01,-1.55E-02
-5.584E-01,1.65E-02
-5.580E-01,-3.03E-02
-5.580E-01,1.93E-02
-5.576E-01,-2.15E-02
-5.576E-01,2.25E-02
-5.572E-01,-1.87E-02
-5.572E-01,8.90E-03
-5.568E-01,-1.15E-02
-5.568E-01,9.70E-03
-5.564E-01,-9.90E-03
-5.564E-01,1.61E-02
-5.560E-01,-1.11E-02
-5.560E-01,2.21E-02
-5.556E-01,-1.55E-02
-5.556E-01,1.61E-02
-5.552E-01,-2.79E-02
-5.552E-01,1.89E-02
-5.548E-01,-5.50E-03
-5.548E-01,8.90E-03
-5.544E-01,-1.95E-02
-5.544E-01,1.45E-02
-5.540E-01,-1.11E-02
-5.540E-01,1.49E-02
-5.536E-01,-2.35E-02
-5.536E-01,1.57E-02
-5.532E-01,-2.03E-02
-5.532E-01,1.61E-02
-5.528E-01,-1.75E-02
-5.528E-01,2.17E-02
-5.524E-01,-1.39E-02
-5.524E-01,1.89E-02
-5.520E-01,-1.39E-02
-5.520E-01,1.97E-02
-5.516E-01,-2.15E-02
-5.516E-01,1.37E-02
-5.512E-01,-2.35E-02
-5.512E-01,1.53E-02
-5.508E-01,-1.75E-02
-5.508E-01,1.41E-02
-5.504E-01,-7.90E-03
-5.504E-01,1.25E-02
-5.500E-01,-1.95E-02
-5.500E-01,1.85E-02
-5.496E-01,-1.79E-02
-5.496E-01,1.25E-02
-5.492E-01,-1.07E-02
-5.492E-01,1.21E-02
-5.488E-01,-2.75E-02
-5.488E-01,1.61E-02
-5.484E-01,-2.15E-02
-5.484E-01,2.29E-02
-5.480E-01,-1.35E-02
-5.480E-01,1.69E-02
-5.476E-01,-1.43E-02
-5.476E-01,8.10E-03
-5.472E-01,-1.11E-02
-5.472E-01,2.01E-02
-5.468E-01,-1.95E-02
-5.468E-01,1.41E-02
-5.464E-01,-2.07E-02
-5.464E-01,1.77E-02
-5.460E-01,-1.35E-02
-5.460E-01,1.61E-02
-5.456E-01,-2.79E-02
-5.456E-01,1.21E-02
-5.452E-01,-1.63E-02
-5.452E-01,1.37E-02
-5.448E-01,-2.03E-02
-5.448E-01,1.57E-02
-5.444E-01,-1.99E-02
-5.444E-01,1.21E-02
-5.440E-01,-2.15E-02
-5.440E-01,1.73E-02
-5.436E-01,-1.03E-02
-5.436E-01,1.93E-02
-5.432E-01,-1.11E-02
-5.432E-01,1.93E-02
-5.428E-01,-1.99E-02
-5.428E-01,9.30E-03
-5.424E-01,-2.23E-02
-5.424E-01,1.05E-02
-5.420E-01,-2.35E-02
-5.420E-01,1.81E-02
-5.416E-01,-1.19E-02
-5.416E-01,7.70E-03
-5.412E-01,-2.07E-02
-5.412E-01,2.13E-02
-5.408E-01,-8.70E-03
-5.408E-01,9.70E-03
-5.404E-01,-2.15E-02
-5.404E-01,1.01E-02
-5.400E-01,-1.99E-02
-5.400E-01,1.53E-02
-5.396E-01,-2.15E-02
-5.396E-01,1.57E-02
-5.392E-01,-2.55E-02
-5.392E-01,1.77E-02
-5.388E-01,-1.47E-02
-5.388E-01,8.50E-03
-5.384E-01,-1.23E-02
-5.384E-01,1.69E-02
-5.380E-01,-7.90E-03
-5.380E-01,1.57E-02
-5.376E-01,-1.11E-02
-5.376E-01,1.81E-02
-5.372E-01,-1.35E-02
-5.372E-01,1.65E-02
-5.368E-01,-2.55E-02
-5.368E-01,1.53E-02
-5.364E-01,-2.19E-02
-5.364E-01,2.25E-02
-5.360E-01,-2.27E-02
-5.360E-01,9.70E-03
-5.356E-01,-2.23E-02
-5.356E-01,1.93E-02
-5.352E-01,-2.03E-02
-5.352E-01,2.05E-02
-5.348E-01,-2.15E-02
-5.348E-01,1.01E-02
-5.344E-01,-1.55E-02
-5.344E-01,1.61E-02
-5.340E-01,-1.07E-02
-5.340E-01,1.61E-02
-5.336E-01,-2.07E-02
-5.336E-01,1.17E-02
-5.332E-01,-1.07E-02
-5.332E-01,9.30E-03
-5.328E-01,-9.90E-03
-5.328E-01,1.49E-02
-5.324E-01,-2.27E-02
-5.324E-01,7.70E-03
-5.320E-01,-8.30E-03
-5.320E-01,6.50E-03
-5.316E-01,-2.71E-02
-5.316E-01,1.09E-02
-5.312E-01,-2.15E-02
-5.312E-01,1.45E-02
-5.308E-01,-1.11E-02
-5.308E-01,1.25E-02
-5.304E-01,-1.31E-02
-5.304E-01,1.61E-02
-5.300E-01,-1.91E-02
-5.300E-01,1.61E-02
-5.296E-01,-2.11E-02
-5.296E-01,1.69E-02
-5.292E-01,-9.90E-03
-5.292E-01,1.73E-02
-5.288E-01,-1.19E-02
-5.288E-01,2.13E-02
-5.284E-01,-2.15E-02
-5.284E-01,1.09E-02
-5.280E-01,-2.27E-02
-5.280E-01,1.17E-02
-5.276E-01,-1.07E-02
-5.276E-01,1.89E-02
-5.272E-01,-2.39E-02
-5.272E-01,1.25E-02
-5.268E-01,-2.07E-02
-5.268E-01,1.25E-02
-5.264E-01,-2.19E-02
-5.264E-01,2.57E-02
-5.260E-01,-1.67E-02
-5.260E-01,2.25E-02
-5.256E-01,-2.31E-02
-5.256E-01,1.49E-02
-5.252E-01,-2.19E-02
-5.252E-01,1.89E-02
-5.248E-01,-1.87E-02
-5.248E-01,1.33E-02
-5.244E-01,-2.11E-02
-5.244E-01,1.93E-02
-5.240E-01,-2.23E-02
-5.240E-01,1.73E-02
-5.236E-01,-1.55E-02
-5.236E-01,1.61E-02
-5.232E-01,-2.11E-02
-5.232E-01,1.09E-02
-5.228E-01,-2.23E-02
-5.228E-01,1.33E-02
-5.224E-01,-2.51E-02
-5.224E-01,8.10E-03
-5.220E-01,-1.31E-02
-5.220E-01,7.70E-03
-5.216E-01,-1.95E-02
-5.216E-01,1.33E-02
-5.212E-01,-2.11E-02
-5.212E-01,1.69E-02
-5.208E-01,-1.63E-02
-5.208E-01,2.21E-02
-5.204E-01,-1.99E-02
-5.204E-01,1.73E-02
-5.200E-01,-1.83E-02
-5.200E-01,1.93E-02
-5.196E-01,-2.03E-02
-5.196E-01,1.49E-02
-5.192E-01,-2.03E-02
-5.192E-01,2.17E-02
-5.188E-01,-1.03E-02
-5.188E-01,1.25E-02
-5.184E-01,-1.11E-02
-5.184E-01,1.77E-02
-5.180E-01,-1.83E-02
-5.180E-01,1.73E-02
-5.176E-01,-1.59E-02
-5.176E-01,1.69E-02
-5.172E-01,-2.87E-02
-5.172E-01,1.17E-02
-5.168E-01,-1.83E-02
-5.168E-01,1.89E-02
-5.164E-01,-2.39E-02
-5.164E-01,1.73E-02
-5.160E-01,-9.90E-03
-5.160E-01,1.01E-02
-5.156E-01,-1.15E-02
-5.156E-01,1.81E-02
-5.152E-01,-2.19E-02
-5.152E-01,1.05E-02
-5.148E-01,-2.27E-02
-5.148E-01,2.29E-02
-5.144E-01,-2.19E-02
-5.144E-01,1.81E-02
-5.140E-01,-1.07E-02
-5.140E-01,1.85E-02
-5.136E-01,-2.03E-02
-5.136E-01,1.29E-02
-5.132E-01,-1.75E-02
-5.132E-01,1.17E-02
-5.128E-01,-2.19E-02
-5.128E-01,1.45E-02
-5.124E-01,-2.15E-02
-5.124E-01,1.61E-02
-5.120E-01,-2.11E-02
-5.120E-01,6.90E-03
-5.116E-01,-1.87E-02
-5.116E-01,7.70E-03
-5.112E-01,-1.43E-02
-5.112E-01,1.69E-02
-5.108E-01,-2.27E-02
-5.108E-01,1.65E-02
-5.104E-01,-1.23E-02
-5.104E-01,1.65E-02
-5.100E-01,-1.23E-02
-5.100E-01,1.81E-02
-5.096E-01,-2.19E-02
-5.096E-01,1.41E-02
-5.092E-01,-1.99E-02
-5.092E-01,2.29E-02
-5.088E-01,-2.43E-02
-5.088E-01,1.69E-02
-5.084E-01,-1.79E-02
-5.084E-01,1.09E-02
-5.080E-01,-3.11E-02
-5.080E-01,1.21E-02
-5.076E-01,-2.11E-02
-5.076E-01,8.50E-03
-5.072E-01,-1.23E-02
-5.072E-01,1.61E-02
-5.068E-01,-1.31E-02
-5.068E-01,2.69E-02
-5.064E-01,-1.55E-02
-5.064E-01,9.30E-03
-5.060E-01,-1.23E-02
-5.060E-01,1.41E-02
-5.056E-01,-7.10E-03
-5.056E-01,8.90E-03
-5.052E-01,-2.75E-02
-5.052E-01,2.17E-02
-5.048E-01,-1.15E-02
-5.048E-01,1.73E-02
-5.044E-01,-1.03E-02
-5.044E-01,1.77E-02
-5.040E-01,-2.03E-02
-5.040E-01,1.49E-02
-5.036E-01,-2.27E-02
-5.036E-01,2.17E-02
-5.032E-01,-2.39E-02
-5.032E-01,1.85E-02
-5.028E-01,-9.90E-03
-5.028E-01,1.97E-02
-5.024E-01,-1.27E-02
-5.024E-01,1.69E-02
-5.020E-01,-2.19E-02
-5.020E-01,8.10E-03
-5.016E-01,-2.11E-02
-5.016E-01,8.50E-03
-5.012E-01,-1.39E-02
-5.012E-01,9.70E-03
-5.008E-01,-2.27E-02
-5.008E-01,7.30E-03
-5.004E-01,-9.50E-03
-5.004E-01,1.61E-02
-5.000E-01,-2.15E-02
-5.000E-01,1.05E-02
-4.996E-01,-2.27E-02
-4.996E-01,2.09E-02
-4.992E-01,-1.67E-02
-4.992E-01,1.85E-02
-4.988E-01,-1.03E-02
-4.988E-01,7.70E-03
-4.984E-01,-2.15E-02
-4.984E-01,1.73E-02
-4.980E-01,-2.35E-02
-4.980E-01,1.93E-02
-4.976E-01,-2.31E-02
-4.976E-01,1.69E-02
-4.972E-01,-2.27E-02
-4.972E-01,8.50E-03
-4.968E-01,-1.19E-02
-4.968E-01,1.21E-02
-4.964E-01,-2.43E-02
-4.964E-01,9.30E-03
-4.960E-01,-1.75E-02
-4.960E-01,1.93E-02
-4.956E-01,-1.79E-02
-4.956E-01,1.85E-02
-4.952E-01,-1.39E-02
-4.952E-01,1.77E-02
-4.948E-01,-1.75E-02
-4.948E-01,1.49E-02
-4.944E-01,-1.15E-02
-4.944E-01,1.25E-02
-4.940E-01,-1.99E-02
-4.940E-01,2.05E-02
-4.936E-01,-2.07E-02
-4.936E-01,1.01E-02
-4.932E-01,-1.23E-02
-4.932E-01,1.97E-02
-4.928E-01,-1.51E-02
-4.928E-01,1.01E-02
-4.924E-01,-2.31E-02
-4.924E-01,2.09E-02
-4.920E-01,-8.30E-03
-4.920E-01,1.57E-02
-4.916E-01,-2.19E-02
-4.916E-01,1.61E-02
-4.912E-01,-2.23E-02
-4.912E-01,1.09E-02
-4.908E-01,-2.19E-02
-4.908E-01,1.37E-02
-4.904E-01,-2.03E-02
-4.904E-01,1.61E-02
-4.900E-01,-1.75E-02
-4.900E-01,1.57E-02
-4.896E-01,-2.15E-02
-4.896E-01,1.57E-02
-4.892E-01,-1.03E-02
-4.892E-01,1.97E-02
-4.888E-01,-1.95E-02
-4.888E-01,1.25E-02
-4.884E-01,-2.03E-02
-4.884E-01,1.61E-02
-4.880E-01,-1.91E-02
-4.880E-01,1.41E-02
-4.876E-01,-1.79E-02
-4.876E-01,2.09E-02
-4.872E-01,-2.19E-02
-4.872E-01,1.45E-02
-4.868E-01,-1.43E-02
-4.868E-01,1.57E-02
-4.864E-01,-2.15E-02
-4.864E-01,1.85E-02
-4.860E-01,-1.91E-02
-4.860E-01,1.97E-02
-4.856E-01,-1.59E-02
-4.856E-01,1.09E-02
-4.852E-01,-2.27E-02
-4.852E-01,1.17E-02
-4.848E-01,-7.50E-03
-4.848E-01,1.09E-02
-4.844E-01,-1.51E-02
-4.844E-01,8.50E-03
-4.840E-01,-2.03E-02
-4.840E-01,1.65E-02
-4.836E-01,-1.59E-02
-4.836E-01,1.61E-02
-4.832E-01,-2.47E-02
-4.832E-01,2.17E-02
-4.828E-01,-2.19E-02
-4.828E-01,1.25E-02
-4.824E-01,-1.83E-02
-4.824E-01,1.09E-02
-4.820E-01,-9.50E-03
-4.820E-01,8.50E-03
-4.816E-01,-9.50E-03
-4.816E-01,2.05E-02
-4.812E-01,-9.90E-03
-4.812E-01,1.41E-02
-4.808E-01,-9.10E-03
-4.808E-01,9.70E-03
-4.804E-01,-2.35E-02
-4.804E-01,1.05E-02
-4.800E-01,-2.07E-02
-4.800E-01,1.13E-02
-4.796E-01,-2.19E-02
-4.796E-01,1.37E-02
-4.792E-01,-2.11E-02
-4.792E-01,1.85E-02
-4.788E-01,-2.11E-02
-4.788E-01,7.30E-03
-4.784E-01,-1.83E-02
-4.784E-01,1.77E-02
-4.780E-01,-9.90E-03
-4.780E-01,2.17E-02
-4.776E-01,-2.35E-02
-4.776E-01,3.01E-02
-4.772E-01,-1.99E-02
-4.772E-01,2.01E-02
-4.768E-01,-2.23E-02
-4.768E-01,1.65E-02
-4.764E-01,-1.95E-02
-4.764E-01,1.61E-02
-4.760E-01,-1.11E-02
-4.760E-01,2.77E-02
-4.756E-01,-1.79E-02
-4.756E-01,2.25E-02
-4.752E-01,-1.07E-02
-4.752E-01,1.21E-02
-4.748E-01,-1.83E-02
-4.748E-01,1.53E-02
-4.744E-01,-1.35E-02
-4.744E-01,1.13E-02
-4.740E-01,-1.15E-02
-4.740E-01,1.53E-02
-4.736E-01,-1.91E-02
-4.736E-01,2.01E-02
-4.732E-01,-9.50E-03
-4.732E-01,1.69E-02
-4.728E-01,-1.19E-02
-4.728E-01,1.65E-02
-4.724E-01,-1.63E-02
-4.724E-01,8.10E-03
-4.720E-01,-1.99E-02
-4.720E-01,1.81E-02
-4.716E-01,-1.19E-02
-4.716E-01,1.57E-02
-4.712E-01,-2.15E-02
-4.712E-01,1.57E-02
-4.708E-01,-1.31E-02
-4.708E-01,1.13E-02
-4.704E-01,-2.19E-02
-4.704E-01,2.01E-02
-4.700E-01,-1.55E-02
-4.700E-01,1.01E-02
-4.696E-01,-2.27E-02
-4.696E-01,8.10E-03
-4.692E-01,-2.15E-02
-4.692E-01,1.01E-02
-4.688E-01,-1.75E-02
-4.688E-01,1.21E-02
-4.684E-01,-2.15E-02
-4.684E-01,8.50E-03
-4.680E-01,-1.43E-02
-4.680E-01,1.57E-02
-4.676E-01,-1.87E-02
-4.676E-01,2.25E-02
-4.672E-01,-1.27E-02
-4.672E-01,1.65E-02
-4.668E-01,-1.71E-02
-4.668E-01,9.70E-03
-4.664E-01,-1.87E-02
-4.664E-01,1.49E-02
-4.660E-01,-1.11E-02
-4.660E-01,1.57E-02
-4.656E-01,-2.23E-02
-4.656E-01,1.21E-02
-4.652E-01,-1.91E-02
-4.652E-01,9.70E-03
-4.648E-01,-1.15E-02
-4.648E-01,1.01E-02
-4.644E-01,-1.43E-02
-4.644E-01,1.45E-02
-4.640E-01,-2.03E-02
-4.640E-01,1.77E-02
-4.636E-01,-1.87E-02
-4.636E-01,1.89E-02
-4.632E-01,-2.19E-02
-4.632E-01,1.45E-02
-4.628E-01,-1.11E-02
-4.628E-01,1.53E-02
-4.624E-01,-2.03E-02
-4.624E-01,1.21E-02
-4.620E-01,-1.75E-02
-4.620E-01,1.81E-02
-4.616E-01,-1.75E-02
-4.616E-01,1.41E-02
