Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-75.746261596679688;-111.10602569580078
9495.5;-74.592910766601563;-85.181976318359375
9991;-73.884613037109375;-90.614967346191406
10486.5;-78.352561950683594;-90.687858581542969
10982;-78.238319396972656;-100.25003051757812
11477.5;-76.604362487792969;-98.576568603515625
11973;-77.23663330078125;-92.140159606933594
12468.5;-79.1845703125;-119.48861694335938
12964;-78.162765502929688;-107.68324279785156
13459.5;-82.217910766601562;-94.5748291015625
13955;-71.997901916503906;-91.59832763671875
14450.5;-79.6910400390625;-105.26451873779297
14946;-74.851402282714844;-84.772079467773438
15441.5;-75.500274658203125;-95.547927856445313
15937;-75.613204956054688;-105.63418579101562
16432.5;-69.102134704589844;-83.094207763671875
16928;-73.79315185546875;-89.151298522949219
17423.5;-77.20855712890625;-87.073623657226562
17919;-73.665283203125;-80.673309326171875
18414.5;-75.717071533203125;-91.978607177734375
18910;-74.251884460449219;-82.316146850585937
19405.5;-76.852119445800781;-96.69439697265625
19901;-77.162742614746094;-84.003494262695313
20396.5;-71.090972900390625;-77.345626831054688
20892;-71.855026245117188;-77.650253295898438
21387.5;-72.683631896972656;-78.326744079589844
21883;-78.709541320800781;-96.9395751953125
22378.5;-79.260528564453125;-89.979850769042969
22874;-73.881767272949219;-91.73699951171875
23369.5;-73.051246643066406;-94.522132873535156
23865;-73.152740478515625;-97.969863891601563
24360.5;-74.735313415527344;-83.572250366210938
24856;-80.741119384765625;-87.878669738769531
25351.5;-74.540992736816406;-87.789482116699219
25847;-73.887466430664062;-102.57558441162109
26342.5;-76.024368286132812;-81.660652160644531
26838;-74.873252868652344;-105.26451873779297
27333.5;-74.653594970703125;-84.995780944824219
27829;-80.381385803222656;-100.03266143798828
28324.5;-74.895156860351563;-88.964591979980469
28820;-76.288040161132812;-102.12286376953125
29315.5;-75.780097961425781;-87.601951599121094
29811;-76.499832153320313;-90.000640869140625
30306.5;-76.896888732910156;-87.948226928710938
30802;-81.766853332519531;-93.999687194824219
31297.5;-77.830986022949219;-91.826416015625
31793;-79.841567993164063;-93.12213134765625
32288.5;-72.588142395019531;-88.503730773925781
