Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-77.118362426757813;-84.943305969238281
9495.5;-77.114814758300781;-100.01615905761719
9991;-80.821212768554688;-98.611549377441406
10486.5;-86.476219177246094;-96.288032531738281
10982;-77.016250610351563;-107.44741821289062
11477.5;-81.154830932617187;-93.880950927734375
11973;-80.232269287109375;-90.573196411132813
12468.5;-80.048355102539063;-86.252029418945313
12964;-73.615837097167969;-80.772529602050781
13459.5;-79.331832885742188;-98.689010620117187
13955;-76.462532043457031;-99.605728149414063
14450.5;-77.57464599609375;-91.309280395507813
14946;-76.8441162109375;-83.607070922851563
15441.5;-74.963523864746094;-88.420921325683594
15937;-79.287010192871094;-122.7431640625
16432.5;-74.356063842773438;-93.495193481445312
16928;-73.838768005371094;-90.457267761230469
17423.5;-77.739204406738281;-90.029304504394531
17919;-78.90093994140625;-96.149650573730469
18414.5;-75.240585327148438;-91.029548645019531
18910;-73.208633422851562;-88.689628601074219
19405.5;-76.648429870605469;-89.5421142578125
19901;-78.810806274414063;-85.662559509277344
20396.5;-80.180038452148438;-93.09979248046875
20892;-77.454170227050781;-86.161262512207031
21387.5;-81.627845764160156;-99.975051879882813
21883;-74.603950500488281;-91.391319274902344
22378.5;-77.437004089355469;-88.494979858398437
22874;-75.720596313476563;-84.132247924804688
23369.5;-73.672821044921875;-102.72062683105469
23865;-78.382553100585938;-111.46798706054687
24360.5;-75.020828247070313;-82.301124572753906
24856;-75.034744262695312;-83.223190307617188
25351.5;-74.884201049804688;-82.863563537597656
25847;-75.390235900878906;-90.171394348144531
26342.5;-74.527397155761719;-80.496452331542969
26838;-76.0030517578125;-98.810089111328125
27333.5;-73.79315185546875;-73.79315185546875
27829;-73.365478515625;-87.433853149414063
28324.5;-78.272636413574219;-96.304145812988281
28820;-75.781112670898438;-90.356407165527344
29315.5;-79.929237365722656;-85.959640502929687
29811;-73.779876708984375;-82.133377075195313
30306.5;-75.852767944335938;-106.27062225341797
30802;-77.749351501464844;-95.059394836425781
31297.5;-73.343658447265625;-85.876724243164063
31793;-73.187965393066406;-83.113021850585937
32288.5;-77.78497314453125;-77.78497314453125
