Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-77.791984558105469;-92.116897583007813
9495.5;-81.791084289550781;-113.82420349121094
9991;-78.594741821289063;-89.561874389648437
10486.5;-76.729896545410156;-95.223953247070313
10982;-77.462760925292969;-90.005844116210938
11477.5;-81.634796142578125;-95.889572143554687
11973;-74.499847412109375;-87.174491882324219
12468.5;-74.423759460449219;-87.578300476074219
12964;-75.032890319824219;-85.65625
13459.5;-73.785507202148437;-82.368934631347656
13955;-73.350921630859375;-90.665374755859375
14450.5;-73.00958251953125;-88.274688720703125
14946;-79.544639587402344;-79.544639587402344
15441.5;-73.853752136230469;-80.52349853515625
15937;-74.167427062988281;-95.459693908691406
16432.5;-75.026397705078125;-91.514312744140625
16928;-74.076286315917969;-87.956443786621094
17423.5;-73.064933776855469;-85.473609924316406
17919;-81.330413818359375;-108.56304931640625
18414.5;-74.590705871582031;-89.638885498046875
18910;-74.473251342773438;-74.473251342773438
19405.5;-76.478424072265625;-86.252029418945313
19901;-74.656265258789063;-74.656265258789063
20396.5;-71.612716674804688;-83.464950561523438
20892;-76.180870056152344;-86.236831665039063
21387.5;-70.762809753417969;-83.815132141113281
21883;-74.207870483398438;-85.444313049316406
22378.5;-74.306808471679688;-74.306808471679688
22874;-78.587753295898437;-85.943321228027344
23369.5;-75.373321533203125;-93.047920227050781
23865;-75.668983459472656;-91.532913208007812
24360.5;-70.278709411621094;-80.083999633789063
24856;-75.273933410644531;-90.481971740722656
25351.5;-72.638404846191406;-83.98785400390625
25847;-72.995986938476562;-86.431266784667969
26342.5;-83.95147705078125;-102.74315643310547
26838;-72.925392150878906;-94.888763427734375
27333.5;-76.877349853515625;-90.490226745605469
27829;-75.119224548339844;-82.589981079101563
28324.5;-76.292869567871094;-87.987327575683594
28820;-75.016654968261719;-106.45889282226562
29315.5;-74.973663330078125;-101.19721984863281
29811;-75.646026611328125;-98.281402587890625
30306.5;-79.608085632324219;-93.151992797851563
30802;-78.226242065429688;-95.503692626953125
31297.5;-76.2073974609375;-85.577728271484375
31793;-76.90667724609375;-85.786582946777344
32288.5;-75.9755859375;-87.562568664550781
