Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-73.664093017578125;-90.892990112304687
13995.5;-73.561973571777344;-108.58512115478516
18991;-71.431419372558594;-95.946136474609375
23986.5;-72.469131469726563;-104.09526062011719
28982;-74.281219482421875;-101.38813018798828
33977.5;-74.756431579589844;-101.349609375
38973;-71.963912963867187;-94.086685180664063
43968.5;-72.678314208984375;-105.23441314697266
48964;-73.190963745117188;-96.039474487304688
53959.5;-72.108932495117188;-108.51906585693359
58955;-72.684333801269531;-114.28036499023437
63950.5;-71.992988586425781;-105.41664123535156
68946;-72.097999572753906;-98.281402587890625
73941.5;-71.829948425292969;-96.621620178222656
78937;-74.580123901367188;-108.65167999267578
83932.5;-71.673065185546875;-110.95954895019531
88928;-72.508613586425781;-110.02409362792969
93923.5;-69.611488342285156;-111.10602569580078
98919;-71.644416809082031;-98.438026428222656
103914.5;-74.066726684570313;-99.893417358398438
108910;-73.978279113769531;-110.12905883789063
113905.5;-73.062713623046875;-113.35244750976562
118901;-73.532623291015625;-112.24057769775391
123896.5;-75.264389038085938;-110.758544921875
128892;-67.937751770019531;-100.36936187744141
133887.5;-65.242385864257813;-108.36686706542969
138883;-71.733512878417969;-107.14261627197266
143878.5;-74.367233276367188;-114.36594390869141
148874;-75.346321105957031;-97.982894897460938
153869.5;-74.510330200195313;-96.282676696777344
158865;-73.011421203613281;-108.92314147949219
163860.5;-67.4033203125;-91.72430419921875
168856;-62.310894012451172;-119.03533172607422
173851.5;-66.538688659667969;-98.167427062988281
178847;-69.135978698730469;-107.52531433105469
183842.5;-71.051834106445313;-109.49290466308594
188838;-66.112907409667969;-100.89111328125
193833.5;-66.770149230957031;-111.78159332275391
198829;-66.071609497070312;-117.55040740966797
203824.5;-63.381752014160156;-87.068061828613281
208820;-62.861618041992188;-106.83007049560547
213815.5;-68.21453857421875;-101.23506164550781
218811;-70.9490966796875;-108.09111022949219
223806.5;-62.707363128662109;-109.74180603027344
228802;-60.617839813232422;-105.18944549560547
233797.5;-60.835063934326172;-96.13909912109375
238793;-60.597286224365234;-93.656158447265625
243788.5;-68.248497009277344;-109.5421142578125
