Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-76.011886596679688;-115.41590881347656
13995.5;-74.429817199707031;-143.57101440429687
18991;-74.886024475097656;-110.076416015625
23986.5;-71.847633361816406;-98.458671569824219
28982;-72.124862670898438;-101.31125640869141
33977.5;-72.699935913085937;-99.281707763671875
38973;-70.729072570800781;-100.90023803710937
43968.5;-71.936897277832031;-101.52429962158203
48964;-73.050506591796875;-100.63959503173828
53959.5;-72.887229919433594;-105.05593109130859
58955;-72.465667724609375;-103.63327789306641
63950.5;-74.895156860351563;-128.21730041503906
68946;-72.16015625;-107.78342437744141
73941.5;-74.603515625;-115.17660522460937
78937;-72.292579650878906;-105.23441314697266
83932.5;-74.281219482421875;-101.29214477539062
88928;-73.04681396484375;-111.78159332275391
93923.5;-74.635833740234375;-109.17965698242187
98919;-75.411064147949219;-103.58342742919922
103914.5;-74.301689147949219;-115.46456909179687
108910;-73.619392395019531;-107.03101348876953
113905.5;-75.158226013183594;-101.1689453125
118901;-75.713058471679688;-109.5421142578125
123896.5;-72.373558044433594;-100.43830108642578
128892;-74.004631042480469;-114.49590301513672
133887.5;-74.737113952636719;-108.25977325439453
138883;-74.584091186523438;-96.461433410644531
143878.5;-73.032051086425781;-106.20315551757812
148874;-74.415969848632813;-109.89463806152344
153869.5;-74.091682434082031;-111.37607574462891
158865;-76.952888488769531;-115.46456909179687
163860.5;-75.7115478515625;-102.23917388916016
168856;-75.379592895507813;-99.934135437011719
173851.5;-73.652992248535156;-111.56089019775391
178847;-73.774658203125;-113.54590606689453
183842.5;-74.919876098632813;-118.53476715087891
188838;-71.810379028320312;-104.63915252685547
193833.5;-74.749687194824219;-112.54898834228516
198829;-74.9912109375;-114.71693420410156
203824.5;-74.681648254394531;-104.12165832519531
208820;-76.463081359863281;-108.99234771728516
213815.5;-71.291458129882812;-119.18381500244141
218811;-74.159019470214844;-92.156814575195313
223806.5;-74.197738647460938;-103.62078857421875
228802;-72.247314453125;-99.442207336425781
233797.5;-74.242141723632812;-99.146461486816406
238793;-73.966354370117187;-101.99773406982422
243788.5;-76.1348876953125;-99.885299682617188
