Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-73.195846557617187;-106.47621154785156
13995.5;-75.200248718261719;-100.71071624755859
18991;-72.0550537109375;-95.930671691894531
23986.5;-71.876632690429687;-110.20862579345703
28982;-71.860191345214844;-101.82350158691406
33977.5;-71.055068969726563;-130.10269165039062
38973;-72.297996520996094;-105.21939849853516
43968.5;-73.9102783203125;-102.07051086425781
48964;-73.31884765625;-107.29367065429687
53959.5;-71.753219604492187;-105.49371337890625
58955;-72.523902893066406;-107.60391235351562
63950.5;-75.224899291992188;-99.716484069824219
68946;-73.093856811523438;-97.507087707519531
73941.5;-74.557235717773438;-96.466911315917969
78937;-75.738197326660156;-102.63108062744141
83932.5;-73.3681640625;-106.6336669921875
88928;-74.256980895996094;-102.67574310302734
93923.5;-75.456771850585938;-106.59842681884766
98919;-75.001380920410156;-106.83007049560547
103914.5;-75.376220703125;-105.15959930419922
108910;-73.800811767578125;-109.6663818359375
113905.5;-72.985336303710938;-119.48861694335938
118901;-74.192253112792969;-105.77696990966797
123896.5;-75.35595703125;-111.68631744384766
128892;-74.729034423828125;-99.613594055175781
133887.5;-73.308181762695313;-111.01784515380859
138883;-74.174156188964844;-93.799995422363281
143878.5;-74.027763366699219;-105.29473114013672
148874;-74.097526550292969;-112.27431488037109
153869.5;-75.583480834960937;-106.02028656005859
158865;-74.367233276367188;-101.33041381835937
163860.5;-73.719001770019531;-111.40660858154297
168856;-75.258193969726563;-103.35048675537109
173851.5;-73.988563537597656;-104.39017486572266
178847;-74.977813720703125;-117.67538452148437
183842.5;-74.156929016113281;-123.57100677490234
188838;-74.639381408691406;-109.84339141845703
193833.5;-75.935829162597656;-112.65427398681641
198829;-73.572555541992188;-108.54103088378906
203824.5;-72.9039306640625;-109.20335388183594
208820;-76.211128234863281;-102.19669342041016
213815.5;-74.508148193359375;-113.66408538818359
218811;-74.793388366699219;-106.74024200439453
223806.5;-74.055519104003906;-118.67486572265625
228802;-72.784469604492188;-104.29524993896484
233797.5;-74.46759033203125;-110.02409362792969
238793;-75.135650634765625;-106.35569763183594
243788.5;-72.881057739257813;-112.90501403808594
