Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-70.029304504394531;-96.9859619140625
9495.5;-70.419784545898438;-83.392929077148438
9991;-81.096778869628906;-86.964736938476562
10486.5;-77.06304931640625;-96.521842956542969
10982;-77.3232421875;-93.325714111328125
11477.5;-74.085853576660156;-87.917465209960938
11973;-74.564712524414063;-103.77185821533203
12468.5;-75.158699035644531;-83.178009033203125
12964;-78.903121948242187;-88.865882873535156
13459.5;-74.763175964355469;-98.752899169921875
13955;-74.475425720214844;-86.342033386230469
14450.5;-82.32366943359375;-96.170799255371094
14946;-78.041122436523438;-96.102264404296875
15441.5;-72.7073974609375;-81.188720703125
15937;-75.362220764160156;-89.003929138183594
16432.5;-76.423210144042969;-82.186103820800781
16928;-77.512649536132812;-86.431266784667969
17423.5;-80.13397216796875;-94.045143127441406
17919;-74.204910278320313;-83.18511962890625
18414.5;-73.167335510253906;-81.050239562988281
18910;-77.487358093261719;-86.725967407226563
19405.5;-74.136383056640625;-82.571159362792969
19901;-77.674140930175781;-88.287490844726563
20396.5;-73.957740783691406;-91.061820983886719
20892;-77.288246154785156;-97.50091552734375
21387.5;-73.622940063476562;-80.010391235351563
21883;-75.840522766113281;-109.81787872314453
22378.5;-77.86566162109375;-91.153419494628906
22874;-75.042648315429687;-103.73384094238281
23369.5;-72.781959533691406;-83.516586303710938
23865;-77.075370788574219;-83.563568115234375
24360.5;-72.233848571777344;-104.39017486572266
24856;-79.186813354492188;-99.09442138671875
25351.5;-74.595123291015625;-106.38996124267578
25847;-76.359687805175781;-88.824882507324219
26342.5;-74.975509643554687;-81.519393920898438
26838;-72.662040710449219;-83.456375122070313
27333.5;-76.796760559082031;-94.761825561523438
27829;-78.899490356445312;-95.276321411132813
28324.5;-73.896820068359375;-87.713180541992188
28820;-75.790733337402344;-84.516548156738281
29315.5;-74.984275817871094;-96.390571594238281
29811;-77.204978942871094;-89.407447814941406
30306.5;-71.086555480957031;-80.2890625
30802;-71.354469299316406;-95.27154541015625
31297.5;-75.50860595703125;-89.219970703125
31793;-79.543861389160156;-106.28757476806641
32288.5;-71.474769592285156;-83.697250366210937
