Type;ZNL3;
Version;1.80;
Date;17.Sep 2025;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Span;991000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100.000000;Hz
VBW;100.000000;Hz
SWT;0.038000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;140.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;10;
9000;-111.860137939453125;-111.860137939453125
9009.9099999999998545;-106.64867401123046875;-106.64867401123046875
9019.819999999999709;-104.04860687255859375;-104.04860687255859375
9029.7299999999995634;-102.68377685546875;-102.68377685546875
9039.6399999999994179;-102.09798431396484375;-102.09798431396484375
9049.5499999999992724;-102.099029541015625;-102.099029541015625
9059.4599999999991269;-102.599945068359375;-102.599945068359375
9069.3699999999989814;-103.56528472900390625;-103.56528472900390625
9079.2799999999988358;-104.981048583984375;-104.981048583984375
9089.1899999999986903;-106.80614471435546875;-106.80614471435546875
