Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-73.195846557617187;-106.47621154785156
13995.5;-75.200248718261719;-100.71071624755859
18991;-72.0550537109375;-95.930671691894531
23986.5;-71.876632690429687;-110.20862579345703
28982;-71.860191345214844;-101.82350158691406
33977.5;-71.055068969726563;-130.10269165039062
38973;-72.297996520996094;-105.21939849853516
43968.5;-73.9102783203125;-102.07051086425781
48964;-73.31884765625;-107.29367065429687
53959.5;-71.753219604492187;-105.49371337890625
